"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci","97.5%"
"100","CFSC7","2800_31_2","10.5",3309,31,"T90","F","SSID","C","2800","31","SC_F",9.433,"symb",21.0214510862986,"3309_31",-73.5022933536467,-327.838639746625,165.210482033447
"101","CFSC9","2800_28_2","10",3285,28,"T90","F","SSID","C","2800","28","SC_F",9.262,"symb",34.3772116445164,"3285_28",-105.192589930206,-338.654699719947,137.88608259995
"102","CFSD1","280_31_2","4.5",311,31,"T90","F","SSID","D","280","31","SD_F",10.682,"symb",8.96830219283443,"311_31",241.263927089391,-4.50846784270767,484.868323588435
"103","CFSD11","280_28_2","4",288,28,"T90","F","SSID","D","280","28","SD_F",10.905,"symb",46.2870392912934,"288_28",209.573630512832,-16.9614966299977,443.808224041417
"104","CFSD3","400_31_2","6.5",405,31,"T90","F","SSID","D","400","31","SD_F",10.206,"symb",21.3004687497337,"405_31",75.6255247929859,-171.7969816498,313.534169242436
"105","CFSD4","280_28_3","4",288,28,"T90","F","SSID","D","280","28","SD_F",11.381,"symb",39.8545034658167,"288_28",209.573630512832,-16.9614966299977,443.808224041417
"106","CFSD5","700_31_2","8.5",701,31,"T90","F","SSID","D","700","31","SD_F",12.59,"symb",7.18182229343853,"701_31",79.1086942228472,-145.611908291604,305.157007800328
"107","CFSD6","700_28_2","8",673,28,"T90","F","SSID","D","700","28","SD_F",9.677,"symb",39.971392110315,"673_28",47.4183976462884,-187.290254598068,292.448746346672
"108","CFSD7","2800_31_2","10.5",3309,31,"T90","F","SSID","D","2800","31","SD_F",11.137,"symb",20.3077786083771,"3309_31",-73.5022933536467,-327.838639746625,165.210482033447
"109","CFSD8","2800_28_2","10",3285,28,"T90","F","SSID","D","2800","28","SD_F",8.568,"symb",31.0656842156328,"3285_28",-105.192589930206,-338.654699719947,137.88608259995
"110","CFSD9","400_28_2","6",447,28,"T90","F","SSID","D","400","28","SD_F",11.455,"symb",40.9316277263947,"447_28",43.9352282164271,-194.036685677825,289.597696082974
"111","CFSE1","280_31_3","4.5",311,31,"T90","F","SSID","E","280","31","SE_F",8.451,"symb",88.5817187034318,"311_31",241.263927089391,-4.50846784270767,484.868323588435
"112","CFSE11","400_28_3","6",447,28,"T90","F","SSID","E","400","28","SE_F",1.88,"symb",123.992171715606,"447_28",43.9352282164271,-194.036685677825,289.597696082974
"113","CFSE3","400_31_3","6.5",405,31,"T90","F","SSID","E","400","31","SE_F",9.104,"symb",21.7844125151292,"405_31",75.6255247929859,-171.7969816498,313.534169242436
"114","CFSE5","700_31_3","8.5",701,31,"T90","F","SSID","E","700","31","SE_F",9.119,"symb",190.908650955056,"701_31",79.1086942228472,-145.611908291604,305.157007800328
