"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"129","CFSF7","2800_31_3","3309_31",3309,31,"T90","F","SSID","F","2800","31","SF_F",11.597,"chla",42.792,34.968564235001,4.25416483356331,64.6251519761964
"130","CFTA2","280_28_1","288_28",288,28,"T90","F","UTEN","A","280","28","TA_F",32.06,"chla",34.131,36.6154979586201,5.93768762399738,67.1584974067709
"131","CFTA6","700_28_1","673_28",673,28,"T90","F","UTEN","A","700","28","TA_F",17.827,"chla",18.788,21.065337107776,-33.1020172451591,72.5036874408102
"132","CFTA8","2800_28_1","3285_28",3285,28,"T90","F","UTEN","A","2800","28","TA_F",18.647,"chla",21.441,25.4174255556169,-16.6087619668208,67.7509377676581
"133","CFTB2","280_28_1","288_28",288,28,"T90","F","UTEN","B","280","28","TB_F",23.661,"chla",24.087,36.6154979586201,5.93768762399738,67.1584974067709
"134","CFTD1","400_28_2","447_28",447,28,"T90","F","UTEN","D","400","28","TD_F",20.389,"chla",21.415,31.4782674114574,-4.34516021826991,67.0799191954402
"135","CFTD2","280_28_2","288_28",288,28,"T90","F","UTEN","D","280","28","TD_F",41.524,"chla",14.95,36.6154979586201,5.93768762399738,67.1584974067709
"136","CFTF2","400_28_3","447_28",447,28,"T90","F","UTEN","F","400","28","TF_F",21.864,"chla",35.771,31.4782674114574,-4.34516021826991,67.0799191954402
"137","CNAA14","700_28_1","673_28",673,28,"T90","N","PAST","A","700","28","AA_N",12.178,"chla",33.119,33.7607325446208,0.409711763616436,68.3703365704616
"138","CNAA2","280_28_1","288_28",288,28,"T90","N","PAST","A","280","28","AA_N",12.034,"chla",97.196,76.1960491254141,46.6219513337106,106.463130456953
"139","CNAA3","400_31_1","405_31",405,31,"T90","N","PAST","A","400","31","AA_N",10.905,"chla",32.162,42.0601394701625,0.4302269625571,80.7172839721205
"140","CNAA5","700_31_1","701_31",701,31,"T90","N","PAST","A","700","31","AA_N",10.874,"chla",39.027,95.1219959008029,59.5311185814094,128.711774911065
"141","CNAA6","400_28_1","447_28",447,28,"T90","N","PAST","A","400","28","AA_N",8.667,"chla",43.096,70.2539942458958,41.5535043424447,100.806279046187
"142","CNAA7","2800_31_1","3309_31",3309,31,"T90","N","PAST","A","2800","31","AA_N",11.976,"chla",4.993,23.0858754968258,-28.7945479060483,73.3826379165671
"143","CNAA9","2800_28_1","3285_28",3285,28,"T90","N","PAST","A","2800","28","AA_N",10.005,"chla",15.319,27.621894364508,-1.62847925277405,58.4028833516104
"144","CNAB10","280_28_1","288_28",288,28,"T90","N","PAST","B","280","28","AB_N",9.038,"chla",47.73,76.1960491254141,46.6219513337106,106.463130456953
"145","CNAB11","400_31_1","405_31",405,31,"T90","N","PAST","B","400","31","AB_N",7.304,"chla",60.745,42.0601394701625,0.4302269625571,80.7172839721205
