"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"119",NA,NA,"447_28",447,28,NA,NA,"SSID",NA,"400","28","SF_F",10.117,"symb",34.6436697499561,-6.39686003454761,-357.494500470534,314.838952588839
"120",NA,NA,"3285_28",3285,28,NA,NA,"SSID",NA,"2800","28","SF_F",11.373,"symb",15.8651246653078,-163.376995987472,-492.739322513604,179.46295536877
"121",NA,NA,"288_28",288,28,NA,NA,"SSID",NA,"280","28","SF_F",10.837,"symb",19.9148917521934,150.469909325242,-195.346434286481,487.141294646646
"122",NA,NA,"405_31",405,31,NA,NA,"SSID",NA,"400","31","SF_F",7.627,"symb",40.3615545167977,22.7706481472534,-334.240673312745,359.54204817583
"123",NA,NA,"701_31",701,31,NA,NA,"SSID",NA,"700","31","SF_F",9.508,"symb",43.1440718874568,200.834783837389,-152.136968896747,558.714837427517
"124",NA,NA,"673_28",673,28,NA,NA,"SSID",NA,"700","28","SF_F",10.336,"symb",27.8525811849452,171.667275655588,-156.051056439088,501.193679184439
"125",NA,NA,"3309_31",3309,31,NA,NA,"SSID",NA,"2800","31","SF_F",11.597,"symb",27.7441279156477,-134.209487805671,-479.852549977459,215.380107029889
"126",NA,NA,"288_28",288,28,NA,NA,"UTEN",NA,"280","28","TA_F",32.06,"symb",31.665697988803,254.477001458014,-122.939106417701,634.379863011196
"127",NA,NA,"673_28",673,28,NA,NA,"UTEN",NA,"700","28","TA_F",17.827,"symb",59.9391443622571,275.67436778836,-150.74811296083,676.997031332582
"128",NA,NA,"3285_28",3285,28,NA,NA,"UTEN",NA,"2800","28","TA_F",18.647,"symb",14.3078111202265,-59.3699038546998,-440.501092179704,339.139402462371
"129",NA,NA,"288_28",288,28,NA,NA,"UTEN",NA,"280","28","TB_F",23.661,"symb",31.8037113269831,254.477001458014,-122.939106417701,634.379863011196
"130",NA,NA,"447_28",447,28,NA,NA,"UTEN",NA,"400","28","TD_F",20.389,"symb",40.6805192574924,97.6102320982243,-303.119735585399,509.177538733747
"131",NA,NA,"288_28",288,28,NA,NA,"UTEN",NA,"280","28","TD_F",41.524,"symb",452.462694338871,254.477001458014,-122.939106417701,634.379863011196
"132",NA,NA,"447_28",447,28,NA,NA,"UTEN",NA,"400","28","TF_F",21.864,"symb",47.1832207792931,97.6102320982243,-303.119735585399,509.177538733747
"133",NA,NA,"673_28",673,28,NA,NA,"PAST",NA,"700","28","AA_N",12.178,"symb",3.34069006598646,149.845337446328,-223.838630341959,534.825489441184
"134",NA,NA,"288_28",288,28,NA,NA,"PAST",NA,"280","28","AA_N",12.034,"symb",42.4578321106845,128.647971115983,-210.549713356103,457.555148230097
"135",NA,NA,"405_31",405,31,NA,NA,"PAST",NA,"400","31","AA_N",10.905,"symb",14.4887998561053,-51.5655024204101,-500.891339356175,381.139272239962
"136",NA,NA,"701_31",701,31,NA,NA,"PAST",NA,"700","31","AA_N",10.874,"symb",5.26156903589118,126.498633269725,-290.738422660865,535.134592201406
"137",NA,NA,"447_28",447,28,NA,NA,"PAST",NA,"400","28","AA_N",8.667,"symb",23.2554187265222,-28.2187982438067,-376.975987954746,308.102417501686
"138",NA,NA,"3309_31",3309,31,NA,NA,"PAST",NA,"2800","31","AA_N",11.976,"symb",2.87031987639746,-208.545638373334,-624.034789229957,245.544400685625
"139",NA,NA,"3285_28",3285,28,NA,NA,"PAST",NA,"2800","28","AA_N",10.005,"symb",1.34787557840516,-185.198934196731,-534.637409583235,179.865796497254
"140",NA,NA,"288_28",288,28,NA,NA,"PAST",NA,"280","28","AB_N",9.038,"symb",8.21120260444139,128.647971115983,-210.549713356103,457.555148230097
"141",NA,NA,"405_31",405,31,NA,NA,"PAST",NA,"400","31","AB_N",7.304,"symb",11.2410365788763,-51.5655024204101,-500.891339356175,381.139272239962
"142",NA,NA,"3285_28",3285,28,NA,NA,"PAST",NA,"2800","28","AB_N",6.944,"symb",3.89142193419725,-185.198934196731,-534.637409583235,179.865796497254
"143",NA,NA,"311_31",311,31,NA,NA,"PAST",NA,"280","31","AB_N",12.161,"symb",16.0586270929233,105.30126693938,-334.840963004173,532.325424773484
"144",NA,NA,"447_28",447,28,NA,NA,"PAST",NA,"400","28","AB_N",6.617,"symb",2.5821996349184,-28.2187982438067,-376.975987954746,308.102417501686
"145",NA,NA,"311_31",311,31,NA,NA,"PAST",NA,"280","31","AC_N",8.864,"symb",27.2690644871089,105.30126693938,-334.840963004173,532.325424773484
"146",NA,NA,"447_28",447,28,NA,NA,"PAST",NA,"400","28","AC_N",6.932,"symb",23.6845102506178,-28.2187982438067,-376.975987954746,308.102417501686
"147",NA,NA,"288_28",288,28,NA,NA,"PAST",NA,"280","28","AC_N",11.649,"symb",8.76439314943437,128.647971115983,-210.549713356103,457.555148230097
"148",NA,NA,"405_31",405,31,NA,NA,"PAST",NA,"400","31","AC_N",8.534,"symb",10.6415238746247,-51.5655024204101,-500.891339356175,381.139272239962
"149",NA,NA,"701_31",701,31,NA,NA,"PAST",NA,"700","31","AC_N",9.56,"symb",8.44994583700777,126.498633269725,-290.738422660865,535.134592201406
"150",NA,NA,"673_28",673,28,NA,NA,"PAST",NA,"700","28","AC_N",10.235,"symb",4.93648062269595,149.845337446328,-223.838630341959,534.825489441184
"151",NA,NA,"3285_28",3285,28,NA,NA,"PAST",NA,"2800","28","AC_N",10.829,"symb",2.32344346590777,-185.198934196731,-534.637409583235,179.865796497254
"152",NA,NA,"288_28",288,28,NA,NA,"PAST",NA,"280","28","AD_N",11.882,"symb",6.30908830408287,128.647971115983,-210.549713356103,457.555148230097
"153",NA,NA,"405_31",405,31,NA,NA,"PAST",NA,"400","31","AD_N",12.839,"symb",8.84690070760024,-51.5655024204101,-500.891339356175,381.139272239962
"154",NA,NA,"701_31",701,31,NA,NA,"PAST",NA,"700","31","AD_N",12.119,"symb",95.4053234203101,126.498633269725,-290.738422660865,535.134592201406
"155",NA,NA,"673_28",673,28,NA,NA,"PAST",NA,"700","28","AD_N",11.062,"symb",24.6986392055067,149.845337446328,-223.838630341959,534.825489441184
"156",NA,NA,"3309_31",3309,31,NA,NA,"PAST",NA,"2800","31","AD_N",12.793,"symb",9.40849888977448,-208.545638373334,-624.034789229957,245.544400685625
"157",NA,NA,"3285_28",3285,28,NA,NA,"PAST",NA,"2800","28","AD_N",9.482,"symb",39.7719968711224,-185.198934196731,-534.637409583235,179.865796497254
"158",NA,NA,"447_28",447,28,NA,NA,"PAST",NA,"400","28","AD_N",12.847,"symb",13.5926630778773,-28.2187982438067,-376.975987954746,308.102417501686
"159",NA,NA,"447_28",447,28,NA,NA,"PAST",NA,"400","28","AE_N",9.245,"symb",26.5884833119011,-28.2187982438067,-376.975987954746,308.102417501686
"160",NA,NA,"288_28",288,28,NA,NA,"PAST",NA,"280","28","AE_N",8.297,"symb",30.3467773984636,128.647971115983,-210.549713356103,457.555148230097
"161",NA,NA,"701_31",701,31,NA,NA,"PAST",NA,"700","31","AE_N",9.883,"symb",35.4650163743082,126.498633269725,-290.738422660865,535.134592201406
"162",NA,NA,"673_28",673,28,NA,NA,"PAST",NA,"700","28","AE_N",9.108,"symb",39.2045693879478,149.845337446328,-223.838630341959,534.825489441184
"163",NA,NA,"3309_31",3309,31,NA,NA,"PAST",NA,"2800","31","AE_N",7.256,"symb",16.4550893832883,-208.545638373334,-624.034789229957,245.544400685625
"164",NA,NA,"3285_28",3285,28,NA,NA,"PAST",NA,"2800","28","AE_N",7.201,"symb",5.17873145418049,-185.198934196731,-534.637409583235,179.865796497254
"165",NA,NA,"311_31",311,31,NA,NA,"PAST",NA,"280","31","AF_N",13.161,"symb",25.0956990110584,105.30126693938,-334.840963004173,532.325424773484
