"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"122","CFSE8","2800_28_3","10",3285,28,"T90","F","SSID","E","2800","28","SE_F",6.848,"pro",0.189,"3285_28",0.450021293055459,0.374014459497445,0.528850978038564
"123","CFSF11","400_28_3","6",447,28,"T90","F","SSID","F","400","28","SF_F",10.117,"pro",0.752,"447_28",0.516711305980133,0.438331183864245,0.595351410591824
"124","CFSF16","2800_28_3","10",3285,28,"T90","F","SSID","F","2800","28","SF_F",11.373,"pro",0.304,"3285_28",0.450021293055459,0.374014459497445,0.528850978038564
"125","CFSF2","280_28_3","4",288,28,"T90","F","SSID","F","280","28","SF_F",10.837,"pro",0.531,"288_28",0.494697100681847,0.409043999013293,0.576370632749372
"126","CFSF3","400_31_3","6.5",405,31,"T90","F","SSID","F","400","31","SF_F",7.627,"pro",1.178,"405_31",0.461094503459034,0.381816211282321,0.538392579270814
"127","CFSF5","700_31_3","8.5",701,31,"T90","F","SSID","F","700","31","SF_F",9.508,"pro",0.492,"701_31",0.409223025491175,0.33236182969871,0.4858018163041
"128","CFSF6","700_28_3","8",673,28,"T90","F","SSID","F","700","28","SF_F",10.336,"pro",0.135,"673_28",0.464839828012274,0.386307062783557,0.540511312391451
"129","CFSF7","2800_31_3","10.5",3309,31,"T90","F","SSID","F","2800","31","SF_F",11.597,"pro",0.589,"3309_31",0.39440449053436,0.31572628431367,0.474155420716871
"130","CFTA2","280_28_1","4",288,28,"T90","F","UTEN","A","280","28","TA_F",32.06,"pro",0.12,"288_28",0.0913055511197075,-0.00651074809608398,0.189612993033965
"131","CFTA6","700_28_1","8",673,28,"T90","F","UTEN","A","700","28","TA_F",17.827,"pro",0.021,"673_28",0.045126847363885,-0.110592472233083,0.20081601017423
"132","CFTA8","2800_28_1","10",3285,28,"T90","F","UTEN","A","2800","28","TA_F",18.647,"pro",0.08,"3285_28",0.0559143319271645,-0.0798742663836743,0.193315649796455
"133","CFTB2","280_28_1","4",288,28,"T90","F","UTEN","B","280","28","TB_F",23.661,"pro",0.077,"288_28",0.0913055511197075,-0.00651074809608398,0.189612993033965
"134","CFTD1","400_28_2","6",447,28,"T90","F","UTEN","D","400","28","TD_F",20.389,"pro",0.065,"447_28",0.0692009000380831,-0.0482271731037518,0.183418214567448
"135","CFTD2","280_28_2","4",288,28,"T90","F","UTEN","D","280","28","TD_F",41.524,"pro",0.026,"288_28",0.0913055511197075,-0.00651074809608398,0.189612993033965
"136","CFTF2","400_28_3","6",447,28,"T90","F","UTEN","F","400","28","TF_F",21.864,"pro",0.101,"447_28",0.0692009000380831,-0.0482271731037518,0.183418214567448
"137","CNAA14","700_28_1","8",673,28,"T90","N","PAST","A","700","28","AA_N",12.178,"pro",0.216,"673_28",0.155845685331941,0.0679066511056217,0.245629889870063
"138","CNAA2","280_28_1","4",288,28,"T90","N","PAST","A","280","28","AA_N",12.034,"pro",0.227,"288_28",0.236440648339247,0.147461005476609,0.326147485453521
"139","CNAA3","400_31_1","6.5",405,31,"T90","N","PAST","A","400","31","AA_N",10.905,"pro",0.182,"405_31",0.162987432780357,0.0694703683680885,0.258933253656955
"140","CNAA5","700_31_1","8.5",701,31,"T90","N","PAST","A","700","31","AA_N",10.874,"pro",0.192,"701_31",0.108489978837691,0.0166826776300784,0.196967501552776
"141","CNAA6","400_28_1","6",447,28,"T90","N","PAST","A","400","28","AA_N",8.667,"pro",0.215,"447_28",0.210343139274608,0.127029451500142,0.290690820865949
"142","CNAA7","2800_31_1","10.5",3309,31,"T90","N","PAST","A","2800","31","AA_N",11.976,"pro",0.011,"3309_31",0.0611012658471372,-0.0447487389765918,0.166213727307875
"143","CNAA9","2800_28_1","10",3285,28,"T90","N","PAST","A","2800","28","AA_N",10.005,"pro",0.082,"3285_28",0.108456972341387,0.0208121487693121,0.197691730718865
"144","CNAB10","280_28_1","4",288,28,"T90","N","PAST","B","280","28","AB_N",9.038,"pro",0.077,"288_28",0.236440648339247,0.147461005476609,0.326147485453521
"145","CNAB11","400_31_1","6.5",405,31,"T90","N","PAST","B","400","31","AB_N",7.304,"pro",0.048,"405_31",0.162987432780357,0.0694703683680885,0.258933253656955
"146","CNAB12","2800_28_1","10",3285,28,"T90","N","PAST","B","2800","28","AB_N",6.944,"pro",0.036,"3285_28",0.108456972341387,0.0208121487693121,0.197691730718865
"147","CNAB13","280_31_1","4.5",311,31,"T90","N","PAST","B","280","31","AB_N",12.161,"pro",0.291,"311_31",0.189084941844997,0.0881991414188754,0.284550097315189
"148","CNAB19","400_28_1","6",447,28,"T90","N","PAST","B","400","28","AB_N",6.617,"pro",0.125,"447_28",0.210343139274608,0.127029451500142,0.290690820865949
"149","CNAC1","280_31_2","4.5",311,31,"T90","N","PAST","C","280","31","AC_N",8.864,"pro",0.31,"311_31",0.189084941844997,0.0881991414188754,0.284550097315189
"150","CNAC12","400_28_2","6",447,28,"T90","N","PAST","C","400","28","AC_N",6.932,"pro",0.589,"447_28",0.210343139274608,0.127029451500142,0.290690820865949
