"","X1","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","den","pro","chla","sum_bw5","red_bw1","green_bw1","blue_bw1","sum_bw1","red_bw2","green_bw2","blue_bw2","sum_bw2","red_bw3","green_bw3","blue_bw3","sum_bw3","red_bw4","green_bw4","blue_bw4","sum_bw4","red_bw5","green_bw5","blue_bw5","rate","carb(mg/cm2)_avg","lipid(mg/cm2)_avg"
"34",34,"CFPA1","280_31_1","311_31",311,31,"T90","F","P","A","280",31,"PA_F",12.372,21277.31228,0.293,29.623,500.25,72.1,42.6,11.2,125.9,98.45,70.3,30.7,199.45,136.65,100.45,44.3,281.4,161.05,126.25,57.65,344.95,215.75,183.5,101,0.685,0.269951560813091,0.102913221
"35",35,"CFPA10","2800_28_2","3285_28",3285,28,"T90","F","P","A","2800",28,"PA_F",14.24,914325.8427,0.548,65.144,281.95,124.65,92,44.2,260.85,91.5,61.65,30.1,183.25,128.15,97.05,51.15,276.35,117.55,86.7,42.2,246.45,133.1,105.15,43.7,0.117,0.484517085088951,0.285832295
"36",36,"CFPA11","400_31_2","405_31",405,31,"T90","F","P","A","400",31,"PA_F",10.967,3829.554434,0.128,5.5,322.05,134.6,97.25,24.2,256.05,118.35,83.95,34.8,237.1,181.3,143.8,72.35,397.45,127.6,109.45,60.55,297.6,142.15,119.05,60.85,-0.031,0.248175354157247,0.310223475
"37",37,"CFPA12","280_31_2","311_31",311,31,"T90","F","P","A","280",31,"PA_F",18.462,4044.270316,0.088,7.846,495.65,116.55,87,34.05,237.6,107.65,79.05,32.6,219.3,126.35,93.8,48.25,268.4,157.45,122.65,53.05,333.15,211.9,182.6,101.15,0.633,0.104887943308879,0.026834215
"38",38,"CFPA2","280_28_1","288_28",288,28,"T90","F","P","A","280",28,"PA_F",11.998,171028.5048,0.5,166.62,159.15,116.85,86.3,20.7,223.85,107.4,77.35,31.3,216.05,95.75,68.1,39.3,203.15,53.55,39.8,34.65,128,70.3,50.95,37.9,1.802,0.570950082791576,0.145702873
"39",39,"CFPA20","700_31_2","701_31",701,31,"T90","F","P","A","700",31,"PA_F",10.441,95393.16157,0.332,28.552,494,109,79.3,21.85,210.15,133,103.55,46.7,283.25,146,114.25,51.7,311.95,206.7,171.6,86,464.3,213.7,182.1,98.2,0.257,0.523578597356575,0.160491748
"40",40,"CFPA21","280_28_2","288_28",288,28,"T90","F","P","A","280",28,"PA_F",16.909,1646460.465,0.846,330.829,177,87.25,53.95,10.45,151.65,107.7,75.3,36.1,219.1,102.85,72.9,28.4,204.15,70.15,49.3,34.95,154.4,74.95,56.35,45.7,1.883,0.880771468054488,0.33373316
"41",41,"CFPA22","2800_31_2","3309_31",3309,31,"T90","F","P","A","2800",31,"PA_F",9.655,81198.64669,0.112,6.684,476.15,94.7,64.6,24.15,183.45,114,81.6,42.45,238.05,152.4,120.1,55.15,327.65,167.3,136.4,59.1,362.8,196.65,176.45,103.05,-0.265,0.245194564670482,0.054155446
"42",42,"CFPA3","400_31_1","405_31",405,31,"T90","F","P","A","400",31,"PA_F",12.671,2262.383921,0.258,4.747,508.25,85.85,57.7,14.1,157.65,108.15,75.65,28.35,212.15,200.9,164.45,88.4,453.75,228.7,201.7,118.75,549.15,213.5,185.45,109.3,-0.128,0.270505913634809,0.108442957
"43",43,"CFPA6","700_28_1","673_28",673,28,"T90","F","P","A","700",28,"PA_F",11.948,1656018.971,0.99,78.813,177.25,138.65,105.55,47.7,291.9,120.6,93.35,49.4,263.35,96.1,72.4,44.75,213.25,76.35,54.6,38.9,169.85,83.8,58.25,35.2,1.597,1.02058320965841,0.32800819
"44",44,"CFPA7","2800_31_1","3309_31",3309,31,"T90","F","P","A","2800",31,"PA_F",11.518,160444.5216,0.137,4.141,477.25,128.25,96.4,34.9,259.55,124.35,95.25,38.1,257.7,154.95,123.2,59.9,338.05,163.5,133.9,60.55,357.95,198,174.85,104.4,0.024,0.255060566070498,0.01722521
"45",45,"CFPA8","2800_28_1","3285_28",3285,28,"T90","F","P","A","2800",28,"PA_F",7.292,862712.1123,0.206,38.96,258.9,99.5,67.5,32.7,199.7,91.5,60.25,23.45,175.2,93.8,66.85,27,187.65,125.55,90.3,31.1,246.95,128.1,99.15,31.65,-0.06,0.412314550514387,0.035007876
"46",46,"CFPA9","700_28_2","673_28",673,28,"T90","F","P","A","700",28,"PA_F",14.665,669947.2679,1.009,124.357,229.8,155.05,121.9,53.2,330.15,111.95,83.75,40.05,235.75,99.95,78.95,51.55,230.45,90.2,67.35,49.05,206.6,113.35,79.7,36.75,0.713,1.04096061620169,0.392843387
"47",47,"CFPB1","400_28_1","447_28",447,28,"T90","F","P","B","400",28,"PB_F",7.942,3590027.701,0.291,205.345,169.1,NA,NA,NA,NA,137.4,104.8,46.95,289.15,123.45,92.5,41.35,257.3,74.3,55.75,30.55,160.6,81.3,57.05,30.75,1.466,1.29658056912616,0.193019577
"48",48,"CFPB12","2800_28_1","3285_28",3285,28,"T90","F","P","B","2800",28,"PB_F",9.46,1554897.815,0.401,60.801,285.65,93.95,62.8,7.15,163.9,84.1,61.1,26.05,171.25,108.2,81,30.35,219.55,91.3,65.85,26.7,183.85,127.15,100.9,57.6,1.281,0.972443511627907,0.058376966
"49",49,"CFPB2","280_28_1","288_28",288,28,"T90","F","P","B","280",28,"PB_F",10.94,2872672.984,0.788,192.345,235.65,124.3,97.65,23.6,245.55,95.5,73.45,34.4,203.35,97.85,70.65,32.9,201.4,76.95,51,29.55,157.5,103.75,78.1,53.8,1.622,0.844716546371139,0.275427958
"50",50,"CFPB3","400_31_1","405_31",405,31,"T90","F","P","B","400",31,"PB_F",12.899,0,0.323,5.424,543.4,109.45,82.75,24.75,216.95,155.8,128.75,64.1,348.65,221.15,198,126.3,545.45,216.05,191.5,123.35,530.9,221.65,197.65,124.1,-0.504,0.356761572731736,0.113718165
"51",51,"CFPB5","700_31_1","701_31",701,31,"T90","F","P","B","700",31,"PB_F",9.71,1922.416752,0.365,26.187,536.2,139.2,105.15,24.85,269.2,144.4,115.5,53.35,313.25,178.15,150.45,78.8,407.4,211.6,191,124.45,527.05,213.9,194.35,127.95,0.027,0.42822174527978,0.012623666
"52",52,"CFPB6","700_28_1","673_28",673,28,"T90","F","P","B","700",28,"PB_F",11.396,2294685.425,1.069,221.579,175.95,131.25,99.2,41.3,271.75,119.95,89.8,38.25,248,89.75,68.7,41.6,200.05,104.7,75.1,40.9,220.7,85.5,59.2,31.25,2.018,1.24300647656937,0.629894565
"53",53,"CFPB7","2800_31_1","3309_31",3309,31,"T90","F","P","B","2800",31,"PB_F",8.536,113870.6654,0.124,23.009,481.1,144.5,116.5,37.15,298.15,153.3,129.85,56.5,339.65,207.7,186.6,113.65,507.95,198,179.95,121.8,499.75,190.3,174.3,116.5,-0.375,0.359566223055295,0.072569223
"54",54,"CFPB9","280_31_1","311_31",311,31,"T90","F","P","B","280",31,"PB_F",9.076,43190.83297,0.138,173.892,280.8,116.85,86.55,20.35,223.75,133.6,109.2,45.9,288.7,176.05,157.25,88.3,421.6,180.45,170.2,113.05,463.7,121.8,109.75,49.25,0.187,0.642674763662406,0.01489788
"55",55,"CFPC10","400_28_2","447_28",447,28,"T90","F","P","C","400",28,"PC_F",10.171,24317.50401,0.066,38.448,351,NA,NA,NA,NA,186.2,152.75,70.05,409,220.65,201,131.95,553.6,204.3,189,126.45,519.75,152.75,135.05,63.2,-0.783,0.240597085340674,0.194421476
"56",56,"CFPC11","280_28_2","288_28",288,28,"T90","F","P","C","280",28,"PC_F",12.342,1633923.025,0.832,207.448,208.35,131.4,98.9,30.6,260.9,147.65,109.3,39.85,296.8,95.95,66.4,30.45,192.8,84.5,59.45,37.95,181.9,99.75,72.1,36.5,1.196,0.950529196232133,0.232894216
