"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","offset","param","value","mean","lowerci","upperci"
"43","CFPA6","700_28_1",8,673,28,"T90","F","PSTR","A","680","28","PA_F",11.948,1.758,"pro",0.99,0.452399904418771,0.38929160245805,0.51417037087431
"44","CFPA7","2800_31_1",10,3309,31,"T90","F","PSTR","A","3300","31","PA_F",11.518,0.478,"pro",0.137,0.166997879532207,0.0874626695841825,0.242886220639044
"45","CFPA8","2800_28_1",10,3285,28,"T90","F","PSTR","A","3300","28","PA_F",7.292,0.754,"pro",0.206,0.426196977400807,0.364274056690471,0.486117973105193
"46","CFPA9","700_28_2",8,673,28,"T90","F","PSTR","A","680","28","PA_F",14.665,1.773,"pro",1.009,0.452399904418771,0.38929160245805,0.51417037087431
"47","CFPB1","400_28_1",6,447,28,"T90","F","PSTR","B","420","28","PB_F",7.942,1.007,"pro",0.291,0.493356715594078,0.422263146127276,0.557804154387544
"48","CFPB12","2800_28_1",10,3285,28,"T90","F","PSTR","B","3300","28","PB_F",9.46,0.581,"pro",0.401,0.426196977400807,0.364274056690471,0.486117973105193
"49","CFPB2","280_28_1",4,288,28,"T90","F","PSTR","B","300","28","PB_F",10.94,1.462,"pro",0.788,0.530851923423383,0.46817994024661,0.592774504935419
"50","CFPB3","400_31_1",6,405,31,"T90","F","PSTR","B","420","31","PB_F",12.899,0.426,"pro",0.323,0.234157617725478,0.150105214425655,0.315043581341686
"51","CFPB6","700_28_1",8,673,28,"T90","F","PSTR","B","680","28","PB_F",11.396,1.799,"pro",1.069,0.452399904418771,0.38929160245805,0.51417037087431
"52","CFPB7","2800_31_1",10,3309,31,"T90","F","PSTR","B","3300","31","PB_F",8.536,0.937,"pro",0.124,0.166997879532207,0.0874626695841825,0.242886220639044
"53","CFPB9","280_31_1",4,311,31,"T90","F","PSTR","B","300","31","PB_F",9.076,0.606,"pro",0.138,0.271652825554783,0.190791826542767,0.34533653595815
"54","CFPC10","400_28_2",6,447,28,"T90","F","PSTR","C","420","28","PC_F",10.171,1.032,"pro",0.066,0.493356715594078,0.422263146127276,0.557804154387544
"55","CFPC11","280_28_2",4,288,28,"T90","F","PSTR","C","300","28","PC_F",12.342,1.215,"pro",0.832,0.530851923423383,0.46817994024661,0.592774504935419
"56","CFPC12","700_31_2",8,701,31,"T90","F","PSTR","C","680","31","PC_F",11.884,0.463,"pro",0.259,0.193200806550171,0.10699349373509,0.277085823011371
"57","CFPC2","280_28_2",4,288,28,"T90","F","PSTR","C","300","28","PC_F",10.872,1.472,"pro",0.724,0.530851923423383,0.46817994024661,0.592774504935419
"58","CFPC6","700_28_2",8,673,28,"T90","F","PSTR","C","680","28","PC_F",11.821,0.888,"pro",0.247,0.452399904418771,0.38929160245805,0.51417037087431
"59","CFPC8","2800_28_2",10,3285,28,"T90","F","PSTR","C","3300","28","PC_F",10.075,0.546,"pro",0.389,0.426196977400807,0.364274056690471,0.486117973105193
"60","CFPD1","280_31_2",4,311,31,"T90","F","PSTR","D","300","31","PD_F",12.425,1.69,"pro",0.537,0.271652825554783,0.190791826542767,0.34533653595815
"61","CFPD11","2800_28_2",10,3285,28,"T90","F","PSTR","D","3300","28","PD_F",7.24,1.105,"pro",0.587,0.426196977400807,0.364274056690471,0.486117973105193
"62","CFPD2","280_28_2",4,288,28,"T90","F","PSTR","D","300","28","PD_F",11.427,0.7,"pro",0.465,0.530851923423383,0.46817994024661,0.592774504935419
"63","CFPD5","700_31_2",8,701,31,"T90","F","PSTR","D","680","31","PD_F",8.533,0.645,"pro",0.21,0.193200806550171,0.10699349373509,0.277085823011371
"64","CFPD6","400_28_2",6,447,28,"T90","F","PSTR","D","420","28","PD_F",8.239,0.789,"pro",0.376,0.493356715594078,0.422263146127276,0.557804154387544
"65","CFPD7","2800_31_2",10,3309,31,"T90","F","PSTR","D","3300","31","PD_F",11.931,0.461,"pro",0.206,0.166997879532207,0.0874626695841825,0.242886220639044
"66","CFPD8","2800_28_2",10,3285,28,"T90","F","PSTR","D","3300","28","PD_F",7.965,4.143,"pro",0.435,0.426196977400807,0.364274056690471,0.486117973105193
"67","CFPD9","700_28_2",8,673,28,"T90","F","PSTR","D","680","28","PD_F",7.055,0.78,"pro",0.248,0.452399904418771,0.38929160245805,0.51417037087431
"68","CFPE10","280_28_1",4,288,28,"T90","F","PSTR","E","300","28","PE_F",11.543,1.083,"pro",0.398,0.530851923423383,0.46817994024661,0.592774504935419
"69","CFPE12","700_28_2",8,673,28,"T90","F","PSTR","E","680","28","PE_F",13.964,0.394,"pro",0.048,0.452399904418771,0.38929160245805,0.51417037087431
"70","CFPE14","280_28_2",4,288,28,"T90","F","PSTR","E","300","28","PE_F",8.052,0.994,"pro",0.411,0.530851923423383,0.46817994024661,0.592774504935419
"71","CFPE2","280_28_3",4,288,28,"T90","F","PSTR","E","300","28","PE_F",10.804,0.602,"pro",0.227,0.530851923423383,0.46817994024661,0.592774504935419
